CODE,AREA_HA,PROPORTION
1,2.8,0.0005335823384245965
2,5.32,0.0010138064430067334
3,3.79,0.0007222418080818646
4,1.18,0.00022486684262179425
5,3.97,0.0007565435298377316
6,7.03,0.0013396727996874693
7,1.27,0.00024201770349972773
8,1.72,0.000327772007889395
9,1.09,0.00020771598174386082
10,1.54,0.0002934702861335281
11,1.18,0.00022486684262179425
12,1.54,0.0002934702861335281
13,2.08,0.0003963754514011289
14,1.81,0.0003449228687673285
15,3.52,0.0006707892254480643
16,10.18,0.0019399529304151403
17,1.3599999999999999,0.00025916856437766114
18,1.45,0.00027631942525559465
19,1.09,0.00020771598174386082
20,1.9,0.00036207372964526194
21,4.51,0.0008594486951053323
22,1.63,0.00031062114701146156
23,1.09,0.00020771598174386082
24,1.3599999999999999,0.00025916856437766114
25,15.22,0.0029004011395794144
26,1.27,0.00024201770349972773
27,1.18,0.00022486684262179425
28,1.81,0.0003449228687673285
29,3.79,0.0007222418080818646
30,6.85,0.0013053710779316022
31,1.18,0.00022486684262179425
32,1.72,0.000327772007889395
33,1.09,0.00020771598174386082
34,13.06,0.002488780478509011
35,1.81,0.0003449228687673285
36,1.45,0.00027631942525559465
37,1.45,0.00027631942525559465
38,1.27,0.00024201770349972773
39,1.72,0.000327772007889395
40,1.09,0.00020771598174386082
41,1.45,0.00027631942525559465
42,2.08,0.0003963754514011289
43,1.54,0.0002934702861335281
44,1.3599999999999999,0.00025916856437766114
45,1.54,0.0002934702861335281
46,1.63,0.00031062114701146156
47,6.31,0.0012024659126640014
48,13.78,0.0026259873655324786
49,2.08,0.0003963754514011289
50,25.93,0.0049413535840534956
51,7.75,0.001476879686710937
52,1.81,0.0003449228687673285
53,1.18,0.00022486684262179425
54,4.24,0.0008079961124715319
55,11.62,0.0022143667044620756
56,1.18,0.00022486684262179425
57,5.5,0.0010481081647626003
58,1.18,0.00022486684262179425
59,12.16,0.0023172718697296764
60,1.27,0.00024201770349972773
61,2.26,0.00043067717315699576
62,7.3,0.0013911253823212695
63,3.97,0.0007565435298377316
64,6.49,0.0012367676344198686
65,2.8,0.0005335823384245965
66,3.7,0.0007050909472039312
67,20.89,0.003980905374889222
68,3.79,0.0007222418080818646
69,3.61,0.0006879400863259977
70,19.99,0.0038093967661098874
71,8.11,0.0015454831302226706
72,1.63,0.00031062114701146156
73,7.93,0.0015111814084668037
74,1.63,0.00031062114701146156
75,1.18,0.00022486684262179425
76,1.18,0.00022486684262179425
77,1.72,0.000327772007889395
78,1.72,0.000327772007889395
79,1.3599999999999999,0.00025916856437766114
80,13.69,0.0026088365046545454
81,1.3599999999999999,0.00025916856437766114
82,1.18,0.00022486684262179425
83,9.1,0.0017341425998799388
84,1.09,0.00020771598174386082
85,14.32,0.00272889253080008
86,1.3599999999999999,0.00025916856437766114
87,5.14,0.0009795047212508665
88,1.09,0.00020771598174386082
89,9.37,0.001785595182513739
90,2.08,0.0003963754514011289
91,2.08,0.0003963754514011289
92,1.54,0.0002934702861335281
93,1.54,0.0002934702861335281
94,5.86,0.0011167116082743344
95,1.09,0.00020771598174386082
96,1.18,0.00022486684262179425
97,1.45,0.00027631942525559465
98,2.5300000000000002,0.00048212975579079624
99,2.35,0.0004478280340349293
100,1.63,0.00031062114701146156
101,6.04,0.001151013330030201
102,1.09,0.00020771598174386082
