CODE,AREA_HA,PROPORTION
1,1.18,0.000305434402785148
2,1.18,0.000305434402785148
3,1.09,0.0002821385585049249
4,1.18,0.000305434402785148
5,1.63,0.00042191362418626376
6,1.18,0.000305434402785148
7,1.09,0.0002821385585049249
8,1.27,0.00032873024706537115
9,1.18,0.000305434402785148
10,3.88,0.0010043097311918426
11,1.09,0.0002821385585049249
12,1.18,0.000305434402785148
13,1.09,0.0002821385585049249
14,1.27,0.00032873024706537115
15,1.99,0.0005150970013071564
16,5.14,0.0013304515511149667
17,1.27,0.00032873024706537115
18,30.52,0.007899879638137895
19,1.27,0.00032873024706537115
20,1.09,0.0002821385585049249
21,1.18,0.000305434402785148
22,24.94,0.006455537292764061
23,4.51,0.0011673806411534047
24,1.9,0.0004918011570269332
25,1.63,0.00042191362418626376
26,1.99,0.0005150970013071564
27,1.27,0.00032873024706537115
28,1.09,0.0002821385585049249
29,1.18,0.000305434402785148
30,6.13,0.0015867058381974213
31,1.09,0.0002821385585049249
32,1.18,0.000305434402785148
33,1.45,0.00037532193562581746
34,1.63,0.00042191362418626376
35,2.08,0.0005383928455873796
36,1.09,0.0002821385585049249
37,1.18,0.000305434402785148
38,8.02,0.0020759185680821073
39,1.99,0.0005150970013071564
40,1.72,0.0004452094684664869
41,7.93,0.0020526227238018844
42,1.09,0.0002821385585049249
43,1.27,0.00032873024706537115
44,2.17,0.0005616886898676027
45,3.97,0.0010276055754720658
46,2.71,0.0007014637555489416
47,1.18,0.000305434402785148
48,1.09,0.0002821385585049249
49,1.54,0.0003986177799060406
50,1.54,0.0003986177799060406
51,1.27,0.00032873024706537115
52,1.18,0.000305434402785148
53,1.18,0.000305434402785148
54,1.3599999999999999,0.0003520260913455943
55,5.05,0.0013071557068347435
56,1.81,0.00046850531274671007
57,1.18,0.000305434402785148
58,1.54,0.0003986177799060406
59,2.26,0.0005849845341478258
60,1.09,0.0002821385585049249
61,1.09,0.0002821385585049249
62,4.6,0.0011906764854336276
63,1.45,0.00037532193562581746
64,1.63,0.00042191362418626376
65,1.3599999999999999,0.0003520260913455943
66,2.17,0.0005616886898676027
67,1.27,0.00032873024706537115
68,1.09,0.0002821385585049249
69,1.27,0.00032873024706537115
70,2.26,0.0005849845341478258
71,1.3599999999999999,0.0003520260913455943
72,2.98,0.0007713512883896111
73,1.09,0.0002821385585049249
74,1.09,0.0002821385585049249
75,1.3599999999999999,0.0003520260913455943
76,1.27,0.00032873024706537115
77,3.52,0.00091112635407095
78,1.3599999999999999,0.0003520260913455943
79,1.09,0.0002821385585049249
80,1.81,0.00046850531274671007
81,1.18,0.000305434402785148
82,2.17,0.0005616886898676027
83,1.27,0.00032873024706537115
84,1.72,0.0004452094684664869
85,1.18,0.000305434402785148
86,1.72,0.0004452094684664869
87,1.09,0.0002821385585049249
88,1.18,0.000305434402785148
89,1.63,0.00042191362418626376
90,1.54,0.0003986177799060406
91,1.09,0.0002821385585049249
92,1.09,0.0002821385585049249
93,1.18,0.000305434402785148
94,1.18,0.000305434402785148
95,7.21,0.0018662559695600993
96,1.09,0.0002821385585049249
97,1.09,0.0002821385585049249
98,1.45,0.00037532193562581746
99,1.63,0.00042191362418626376
100,1.81,0.00046850531274671007
101,1.18,0.000305434402785148
102,1.09,0.0002821385585049249
103,2.8,0.0007247595998291647
104,1.09,0.0002821385585049249
105,1.09,0.0002821385585049249
106,1.09,0.0002821385585049249
107,1.09,0.0002821385585049249
108,1.18,0.000305434402785148
109,1.27,0.00032873024706537115
110,1.3599999999999999,0.0003520260913455943
111,3.88,0.0010043097311918426
112,4.6,0.0011906764854336276
113,1.18,0.000305434402785148
114,1.09,0.0002821385585049249
115,3.16,0.0008179429769500574
116,1.09,0.0002821385585049249
117,1.09,0.0002821385585049249
118,1.09,0.0002821385585049249
119,1.18,0.000305434402785148
120,2.08,0.0005383928455873796
121,1.09,0.0002821385585049249
122,1.54,0.0003986177799060406
123,2.35,0.000608280378428049
124,1.18,0.000305434402785148
125,1.09,0.0002821385585049249
126,1.63,0.00042191362418626376
127,12.61,0.0032640066263734885
128,1.09,0.0002821385585049249
129,1.81,0.00046850531274671007
130,1.99,0.0005150970013071564
131,3.16,0.0008179429769500574
132,1.09,0.0002821385585049249
133,3.52,0.00091112635407095
134,3.88,0.0010043097311918426
135,1.3599999999999999,0.0003520260913455943
136,26.38,0.006828270801247631
137,5.23,0.00135374739539519
138,1.27,0.00032873024706537115
139,6.22,0.0016100016824776445
140,3.52,0.00091112635407095
141,1.18,0.000305434402785148
142,1.09,0.0002821385585049249
143,2.44,0.0006315762227082721
144,1.09,0.0002821385585049249
145,1.45,0.00037532193562581746
146,1.18,0.000305434402785148
147,1.09,0.0002821385585049249
148,1.09,0.0002821385585049249
149,1.54,0.0003986177799060406
150,1.09,0.0002821385585049249
151,2.71,0.0007014637555489416
152,3.16,0.0008179429769500574
153,2.44,0.0006315762227082721
154,1.99,0.0005150970013071564
155,1.3599999999999999,0.0003520260913455943
156,1.72,0.0004452094684664869
157,2.17,0.0005616886898676027
158,3.7,0.0009577180426313963
159,12.52,0.003240710782093265
160,1.09,0.0002821385585049249
161,2.26,0.0005849845341478258
162,1.54,0.0003986177799060406
163,1.63,0.00042191362418626376
164,1.09,0.0002821385585049249
165,1.09,0.0002821385585049249
166,1.18,0.000305434402785148
167,1.27,0.00032873024706537115
168,1.81,0.00046850531274671007
169,1.9,0.0004918011570269332
170,1.27,0.00032873024706537115
171,14.05,0.003636740134857059
172,2.71,0.0007014637555489416
173,10.63,0.0027514980522085793
174,1.18,0.000305434402785148
175,2.62,0.0006781679112687185
176,3.79,0.0009810138869116194
177,2.8,0.0007247595998291647
178,1.09,0.0002821385585049249
179,27.82,0.007201004309731201
180,1.09,0.0002821385585049249
181,1.09,0.0002821385585049249
182,1.09,0.0002821385585049249
183,1.09,0.0002821385585049249
184,1.18,0.000305434402785148
185,1.27,0.00032873024706537115
186,2.8,0.0007247595998291647
187,1.09,0.0002821385585049249
188,2.26,0.0005849845341478258
189,1.81,0.00046850531274671007
190,3.88,0.0010043097311918426
191,3.79,0.0009810138869116194
192,1.3599999999999999,0.0003520260913455943
193,1.18,0.000305434402785148
194,17.92,0.004638461438906655
195,1.09,0.0002821385585049249
196,1.09,0.0002821385585049249
197,1.09,0.0002821385585049249
198,1.45,0.00037532193562581746
199,1.63,0.00042191362418626376
200,1.09,0.0002821385585049249
201,1.18,0.000305434402785148
202,6.04,0.0015634099939171983
203,1.09,0.0002821385585049249
204,1.3599999999999999,0.0003520260913455943
205,1.9,0.0004918011570269332
206,1.72,0.0004452094684664869
207,1.09,0.0002821385585049249
208,1.27,0.00032873024706537115
209,1.09,0.0002821385585049249
210,8.2,0.0021225102566425538
211,1.09,0.0002821385585049249
212,5.86,0.0015168183053567521
213,1.63,0.00042191362418626376
214,1.45,0.00037532193562581746
215,1.81,0.00046850531274671007
216,1.45,0.00037532193562581746
217,1.3599999999999999,0.0003520260913455943
218,1.09,0.0002821385585049249
219,1.18,0.000305434402785148
220,1.09,0.0002821385585049249
221,1.09,0.0002821385585049249
222,1.09,0.0002821385585049249
223,1.45,0.00037532193562581746
224,1.18,0.000305434402785148
