CODE,AREA_HA,PROPORTION
1,2.8,0.00033682589709968747
2,5.68,0.0006832753912593661
3,4.0600000000000005,0.0004883975507945469
4,1.18,0.0001419480566348683
5,4.6,0.0005533568309494866
6,7.57,0.0009106328718016552
7,1.27,0.00015277460332735826
8,1.72,0.00020690733678980803
9,1.09,0.00013112150994237836
10,1.54,0.00018525424340482812
11,1.18,0.0001419480566348683
12,1.54,0.00018525424340482812
13,2.26,0.00027186661694474773
14,1.81,0.000217733883482298
15,3.61,0.0004342648173320971
16,13.33,0.0016035318601210122
17,1.3599999999999999,0.0001636011500198482
18,1.45,0.00017442769671233816
20,1.09,0.00013112150994237836
22,1.9,0.00022856043017478793
23,4.779999999999999,0.0005750099243344664
24,1.63,0.00019608079009731806
25,1.09,0.00013112150994237836
26,1.3599999999999999,0.0001636011500198482
27,46.18,0.005555221402879846
28,1.27,0.00015277460332735826
29,1.18,0.0001419480566348683
30,1.81,0.000217733883482298
32,3.79,0.000455917910717077
33,7.84,0.000943112511879125
34,1.18,0.0001419480566348683
35,1.09,0.00013112150994237836
38,17.47,0.00210155300797555
39,1.81,0.000217733883482298
41,1.45,0.00017442769671233816
42,1.45,0.00017442769671233816
43,1.27,0.00015277460332735826
45,1.09,0.00013112150994237836
46,1.45,0.00017442769671233816
47,2.08,0.00025021352355976786
48,1.54,0.00018525424340482812
50,1.3599999999999999,0.0001636011500198482
52,1.54,0.00018525424340482812
53,50.41,0.006064069097426873
59,1.63,0.00019608079009731806
60,9.82,0.001181296539113904
61,14.77,0.0017767566072008514
62,2.08,0.00025021352355976786
65,9.19,0.0011055107122664742
66,1.81,0.000217733883482298
67,1.18,0.0001419480566348683
71,4.6899999999999995,0.0005641833776419765
72,16.75,0.0020149406344356306
74,1.18,0.0001419480566348683
76,6.4,0.0007698877647992858
77,1.18,0.0001419480566348683
78,20.08,0.0024155228620577588
79,1.27,0.00015277460332735826
80,2.26,0.00027186661694474773
81,8.379999999999999,0.0010080717920340646
82,4.24,0.0005100506441795268
84,9.46,0.0011379903523439444
85,31.33,0.003768841198619003
86,2.8,0.00033682589709968747
87,3.88,0.00046674445740956693
88,3.79,0.000455917910717077
91,3.61,0.0004342648173320971
92,22.33,0.0026861865293700076
93,8.74,0.0010513779788040246
94,1.63,0.00019608079009731806
96,8.29,0.0009972452453415746
99,1.63,0.00019608079009731806
100,1.18,0.0001419480566348683
101,1.18,0.0001419480566348683
106,1.72,0.00020690733678980803
107,1.72,0.00020690733678980803
111,1.3599999999999999,0.0001636011500198482
113,18.28,0.00219899192820796
114,1.3599999999999999,0.0001636011500198482
115,1.18,0.0001419480566348683
116,10.36,0.0012462558192688437
121,1.09,0.00013112150994237836
122,15.85,0.001906675167510731
123,1.3599999999999999,0.0001636011500198482
124,5.23,0.0006291426577969163
125,1.09,0.00013112150994237836
126,13.96,0.001679317686968442
128,2.08,0.00025021352355976786
129,2.08,0.00025021352355976786
130,1.54,0.00018525424340482812
131,1.54,0.00018525424340482812
132,7.03,0.0008456735916467154
135,1.09,0.00013112150994237836
137,1.18,0.0001419480566348683
138,1.45,0.00017442769671233816
139,2.62,0.0003151728037147076
140,2.62,0.0003151728037147076
141,1.63,0.00019608079009731806
142,7.57,0.0009106328718016552
