CODE,AREA_HA,PROPORTION
1,2.8,0.0003725931150115103
2,5.68,0.000755831747594778
3,4.0600000000000005,0.00054026001676669
4,1.18,0.0001570213841834222
5,4.6,0.0006121172603760526
6,7.57,0.0010073321002275475
7,2.71,0.0003606169077432832
8,7.21,0.000959427271154639
9,4.42,0.0005881648458395984
10,1.81,0.00024085483506101202
11,16.57,0.002204952827050259
12,1.9,0.00025283104232923915
13,1.63,0.00021690242052455777
14,46.18,0.006145125018296981
15,1.81,0.00024085483506101202
16,7.93,0.001055236929300456
17,1.18,0.0001570213841834222
18,17.47,0.00232471489973253
19,2.62,0.0003486407004750561
20,1.45,0.00019295000598810354
21,1.99,0.00026480724959746627
22,2.08,0.0002767834568656934
23,1.3599999999999999,0.00018097379871987642
24,1.54,0.00020492621325633067
25,1.63,0.00021690242052455777
26,2.08,0.0002767834568656934
27,23.59,0.0031390969939719742
28,1.99,0.00026480724959746627
29,4.6899999999999995,0.0006240934676442797
30,41.95,0.005582243276690307
31,2.26,0.0003007358714021476
32,4.24,0.0005642124313031442
33,38.71,0.00515109981503413
34,89.65,0.011929633128850679
35,2.8,0.0003725931150115103
36,4.779999999999999,0.0006360696749125068
37,7.03,0.0009354748566181849
38,8.74,0.0011630227947145
39,8.29,0.0011031417583733643
40,1.72,0.0002288786277927849
41,1.3599999999999999,0.00018097379871987642
42,10.45,0.0013905707328108151
43,15.85,0.002109143168904442
44,1.3599999999999999,0.00018097379871987642
45,5.77,0.0007678079548630051
46,14.14,0.0018815952308081272
47,2.08,0.0002767834568656934
48,2.08,0.0002767834568656934
49,1.54,0.00020492621325633067
50,7.21,0.000959427271154639
51,8.83,0.001174999001982727
52,2.8899999999999997,0.00038456932227973737
53,13.15,0.001749856950857629
54,7.66,0.0010193083074957747
55,2.44,0.00032468828593860185
56,2.17,0.00028875966413392047
57,2.35,0.0003127120786703747
58,17.11,0.002276810070659622
59,9.01,0.0011989514165191813
60,1.45,0.00019295000598810354
61,2.26,0.0003007358714021476
62,1.54,0.00020492621325633067
63,8.83,0.001174999001982727
64,35.83,0.004767861182450862
65,8.29,0.0011031417583733643
66,1.63,0.00021690242052455777
67,2.08,0.0002767834568656934
68,1.45,0.00019295000598810354
69,7.3,0.0009714034784228661
70,1.27,0.00016899759145164932
71,4.0600000000000005,0.00054026001676669
72,4.42,0.0005881648458395984
73,1.9,0.00025283104232923915
74,1.72,0.0002288786277927849
75,10.18,0.0013546421110061338
76,2.26,0.0003007358714021476
77,6.94,0.0009234986493499577
78,1.09,0.0001450451769151951
79,1.9,0.00025283104232923915
80,1.54,0.00020492621325633067
81,9.37,0.0012468562455920898
82,2.17,0.00028875966413392047
83,2.8899999999999997,0.00038456932227973737
84,16.21,0.002157047997977351
85,1.72,0.0002288786277927849
86,1.3599999999999999,0.00018097379871987642
87,2.71,0.0003606169077432832
88,1.9,0.00025283104232923915
89,1.3599999999999999,0.00018097379871987642
90,3.79,0.0005043313949620086
91,3.7,0.0004923551876937815
92,2.98,0.00039654552954796455
93,1.27,0.00016899759145164932
94,1.63,0.00021690242052455777
95,1.63,0.00021690242052455777
96,1.54,0.00020492621325633067
97,1.3599999999999999,0.00018097379871987642
98,3.34,0.000444450358620873
99,1.09,0.0001450451769151951
100,9.1,0.0012109276237874085
101,3.7,0.0004923551876937815
102,2.26,0.0003007358714021476
103,2.26,0.0003007358714021476
104,1.72,0.0002288786277927849
105,7.93,0.001055236929300456
106,2.62,0.0003486407004750561
107,1.72,0.0002288786277927849
108,1.45,0.00019295000598810354
109,1.27,0.00016899759145164932
110,1.63,0.00021690242052455777
111,2.08,0.0002767834568656934
112,37.63,0.005007385327815405
113,2.17,0.00028875966413392047
114,16.21,0.002157047997977351
115,1.09,0.0001450451769151951
116,11.89,0.0015821900491024491
117,1.81,0.00024085483506101202
118,1.18,0.0001570213841834222
119,1.09,0.0001450451769151951
120,2.44,0.00032468828593860185
121,2.17,0.00028875966413392047
122,2.35,0.0003127120786703747
123,4.15,0.0005522362240349171
124,5.86,0.0007797841621312323
125,3.79,0.0005043313949620086
126,1.09,0.0001450451769151951
127,1.27,0.00016899759145164932
128,1.09,0.0001450451769151951
129,1.99,0.00026480724959746627
130,2.8,0.0003725931150115103
131,1.54,0.00020492621325633067
132,1.45,0.00019295000598810354
133,1.45,0.00019295000598810354
134,1.72,0.0002288786277927849
135,17.92,0.0023845959360736663
136,1.54,0.00020492621325633067
137,1.3599999999999999,0.00018097379871987642
138,1.18,0.0001570213841834222
139,15.67,0.002085190754367988
140,6.4,0.0008516414057405951
141,2.08,0.0002767834568656934
142,1.3599999999999999,0.00018097379871987642
143,1.27,0.00016899759145164932
144,19.36,0.0025762152523653
145,2.17,0.00028875966413392047
146,14.32,0.0019055476453445812
147,1.3599999999999999,0.00018097379871987642
148,2.98,0.00039654552954796455
149,2.98,0.00039654552954796455
150,1.63,0.00021690242052455777
151,5.5,0.0007318793330583238
152,1.3599999999999999,0.00018097379871987642
153,52.84,0.007031364356145787
154,1.3599999999999999,0.00018097379871987642
155,2.62,0.0003486407004750561
156,1.45,0.00019295000598810354
157,1.45,0.00019295000598810354
158,1.45,0.00019295000598810354
159,1.45,0.00019295000598810354
160,5.23,0.0006959507112536425
161,1.54,0.00020492621325633067
162,38.89,0.005175052229570584
163,1.18,0.0001570213841834222
164,2.26,0.0003007358714021476
165,1.54,0.00020492621325633067
166,12.34,0.0016420710854435847
167,1.3599999999999999,0.00018097379871987642
168,1.18,0.0001570213841834222
169,24.67,0.0032828114811906998
170,2.5300000000000002,0.000336664493206829
171,4.96,0.0006600220894489611
172,1.81,0.00024085483506101202
173,9.01,0.0011989514165191813
174,1.18,0.0001570213841834222
175,11.17,0.0014863803909566321
176,2.8,0.0003725931150115103
177,1.99,0.00026480724959746627
